EmployeeID,Age,Attrition,Department,DistanceFromHome,EducationField,Gender,JobRole,MaritalStatus,State,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,LevelofEducation,LevelofJob,JobSatisfaction,PerformanceRating
2037,41,No,Sales,3,Life Sciences,Male,Sales Executive,Divorced,Vermont,8938,2,No,11,14,5,4,0,Bachelors,Intermediate,Medium,Excellent
1821,46,Yes,Research & Development,21,Medical,Female,Healthcare Representative,Married,Utah,8926,4,No,22,13,9,7,3,College,Intermediate,Medium,Outstanding
302,45,No,Sales,6,Medical,Female,Sales Executive,Single,Alabama,8865,6,No,12,23,19,7,12,Bachelors,First Level Management,Very High,Excellent
1073,36,No,Research & Development,12,Medical,Female,Manufacturing Director,Single,Maryland,8858,0,No,11,15,14,8,7,Doctorate,First Level Management,Very High,Excellent
1590,29,No,Research & Development,2,Life Sciences,Male,Healthcare Representative,Divorced,Virginia,8853,1,No,19,6,6,4,1,College,Intermediate,Very High,Excellent
699,36,No,Research & Development,9,Medical,Male,Manufacturing Director,Divorced,Wisconsin,8847,2,Yes,11,13,3,2,0,College,Intermediate,Medium,Excellent
2040,35,No,Human Resources,26,Life Sciences,Female,Human Resources,Single,Wyoming,8837,1,Yes,16,9,9,0,1,Masters,First Level Management,Very High,Excellent
626,37,No,Sales,9,Medical,Male,Sales Executive,Divorced,New Jersey,8834,1,No,13,9,9,5,7,Masters,First Level Management,Medium,Excellent
1088,38,No,Research & Development,17,Life Sciences,Female,Healthcare Representative,Married,Michigan,8823,0,No,18,20,19,9,1,College,First Level Management,High,Excellent
733,27,No,Research & Development,10,Life Sciences,Male,Manufacturing Director,Divorced,Wisconsin,8793,1,No,21,9,9,7,1,College,First Level Management,Low,Outstanding
314,35,No,Sales,1,Marketing,Female,Sales Executive,Single,Missouri,8789,1,No,14,10,10,7,0,Bachelors,First Level Management,High,Excellent
1119,38,No,Sales,10,Marketing,Male,Sales Executive,Divorced,Texas,8740,0,Yes,14,9,8,7,2,Masters,First Level Management,High,Excellent
56,27,No,Sales,8,Life Sciences,Male,Sales Executive,Single,Oklahoma,8726,1,No,15,9,9,8,1,Bachelors,First Level Management,High,Excellent
1082,28,Yes,Research & Development,24,Technical Degree,Male,Healthcare Representative,Single,Nevada,8722,1,No,12,10,10,7,1,College,First Level Management,Low,Excellent
230,38,No,Sales,1,Life Sciences,Female,Sales Executive,Single,South Carolina,8686,4,No,22,12,8,3,0,Masters,Intermediate,Very High,Outstanding
183,25,No,Sales,28,Life Sciences,Male,Sales Executive,Married,Illinois,8639,2,No,18,6,2,2,2,Bachelors,Intermediate,High,Excellent
1993,47,No,Research & Development,25,Medical,Male,Healthcare Representative,Single,Virginia,8633,2,No,23,25,17,14,12,Bachelors,First Level Management,High,Outstanding
1951,34,No,Sales,13,Medical,Male,Sales Executive,Divorced,Nebraska,8628,1,No,18,9,8,7,1,Masters,First Level Management,High,Excellent
717,34,No,Research & Development,9,Medical,Female,Healthcare Representative,Single,New York,8621,1,No,14,9,8,7,7,Bachelors,First Level Management,Medium,Excellent
1497,29,No,Sales,19,Life Sciences,Male,Sales Executive,Divorced,Delaware,8620,1,No,14,10,10,7,0,Bachelors,Intermediate,High,Excellent
1529,35,No,Research & Development,16,Life Sciences,Female,Healthcare Representative,Single,Delaware,8606,1,No,19,11,11,8,3,Bachelors,First Level Management,Medium,Excellent
1857,46,No,Research & Development,2,Life Sciences,Male,Manufacturing Director,Divorced,Maine,8578,3,No,14,12,9,8,4,College,First Level Management,Very High,Excellent
1758,33,Yes,Sales,16,Life Sciences,Female,Sales Executive,Single,Nebraska,8564,2,Yes,20,11,0,0,0,Bachelors,First Level Management,Low,Outstanding
1344,34,No,Research & Development,9,Life Sciences,Male,Healthcare Representative,Divorced,Maine,8500,0,No,11,10,9,7,1,Bachelors,First Level Management,Very High,Excellent
292,30,No,Research & Development,1,Life Sciences,Male,Manufacturing Director,Single,Virginia,8474,1,No,22,12,11,8,5,College,First Level Management,High,Outstanding
1469,28,No,Sales,5,Medical,Male,Sales Executive,Single,California,8463,0,No,18,6,5,4,1,Bachelors,Intermediate,Low,Excellent
1319,52,Yes,Sales,5,Life Sciences,Male,Sales Executive,Single,West Virginia,8446,9,Yes,19,10,8,7,7,Bachelors,First Level Management,Medium,Excellent
567,30,No,Sales,22,Other,Female,Sales Executive,Married,Kansas,8412,0,No,11,10,9,8,7,Masters,First Level Management,Low,Excellent
1066,40,No,Sales,26,Marketing,Male,Sales Executive,Married,Georgia,8396,1,No,14,8,7,7,7,Bachelors,Intermediate,Low,Excellent
534,41,No,Sales,1,Marketing,Male,Sales Executive,Married,Michigan,8392,1,No,16,10,10,7,0,Bachelors,First Level Management,Low,Excellent
682,53,No,Sales,1,Medical,Female,Sales Executive,Single,Connecticut,8381,7,No,20,18,14,7,8,College,Intermediate,Low,Outstanding
1268,33,No,Sales,10,Marketing,Male,Sales Executive,Divorced,Connecticut,8380,0,Yes,14,10,9,8,0,Doctorate,First Level Management,High,Excellent
1525,39,No,Research & Development,6,Life Sciences,Female,Manufacturing Director,Single,Nevada,8376,4,No,18,9,2,0,2,Bachelors,First Level Management,Medium,Excellent
1749,31,No,Sales,5,Technical Degree,Male,Sales Executive,Married,California,8346,1,No,19,6,5,2,0,Bachelors,Intermediate,High,Excellent
1790,36,No,Research & Development,10,Life Sciences,Male,Healthcare Representative,Married,Nevada,8321,7,Yes,13,15,12,8,5,Bachelors,First Level Management,Low,Excellent
463,29,No,Sales,10,Marketing,Female,Sales Executive,Divorced,Connecticut,8268,1,Yes,14,7,7,7,1,College,Intermediate,Medium,Excellent
1588,39,No,Sales,6,Medical,Male,Sales Executive,Married,Massachusetts,8237,2,No,11,11,7,6,7,Bachelors,First Level Management,High,Excellent
1157,33,Yes,Sales,9,Marketing,Female,Sales Executive,Single,Pennsylvania,8224,0,Yes,17,6,5,2,0,Masters,Intermediate,Low,Excellent
176,41,No,Sales,9,Life Sciences,Male,Sales Executive,Divorced,Illinois,8189,3,Yes,13,12,9,7,0,College,First Level Management,High,Excellent
1761,31,Yes,Sales,16,Marketing,Male,Sales Executive,Married,Alaska,8161,2,No,13,10,1,0,0,Masters,First Level Management,High,Excellent
712,48,No,Sales,2,Marketing,Male,Sales Executive,Married,Texas,8120,3,No,12,12,2,2,2,College,Intermediate,Medium,Excellent
1915,34,No,Sales,3,Medical,Female,Sales Executive,Married,Massachusetts,8103,3,Yes,12,9,4,2,0,College,Intermediate,Very High,Excellent
464,35,No,Research & Development,5,Technical Degree,Male,Manufacturing Director,Single,Massachusetts,8095,0,No,13,17,16,6,0,Masters,First Level Management,Medium,Excellent
406,35,No,Sales,16,Marketing,Male,Sales Executive,Married,Idaho,8020,0,No,15,12,11,9,6,Bachelors,First Level Management,Medium,Excellent
1651,36,No,Research & Development,5,Life Sciences,Female,Healthcare Representative,Married,South Dakota,8008,4,No,12,9,3,2,0,Masters,First Level Management,Low,Excellent
1801,46,No,Sales,26,Life Sciences,Male,Sales Executive,Single,Nevada,7991,8,No,15,6,2,2,2,College,Intermediate,Medium,Excellent
1419,29,No,Human Resources,17,Other,Male,Human Resources,Single,Vermont,7988,1,No,13,10,10,9,0,Bachelors,First Level Management,Low,Excellent
1295,44,Yes,Research & Development,15,Medical,Female,Healthcare Representative,Married,North Dakota,7978,1,No,11,10,10,7,0,Bachelors,First Level Management,Very High,Excellent
543,52,No,Research & Development,3,Medical,Male,Manufacturing Director,Married,Pennsylvania,7969,2,Yes,14,28,5,4,0,Bachelors,First Level Management,High,Excellent
1641,40,No,Research & Development,16,Life Sciences,Female,Manufacturing Director,Single,Illinois,7945,6,Yes,15,18,4,2,3,Bachelors,First Level Management,Very High,Excellent
312,29,No,Sales,1,Medical,Female,Sales Executive,Married,California,7918,1,No,14,11,11,10,4,College,First Level Management,Very High,Excellent
1363,48,No,Research & Development,4,Life Sciences,Male,Manufacturing Director,Single,California,7898,1,No,11,11,10,9,0,Bachelors,First Level Management,Very High,Excellent
985,39,No,Sales,2,Life Sciences,Male,Sales Executive,Single,Michigan,7880,0,No,18,9,8,7,0,Doctorate,First Level Management,High,Excellent
1703,44,No,Research & Development,2,Life Sciences,Female,Healthcare Representative,Married,Maryland,7879,1,Yes,19,9,8,7,6,Bachelors,First Level Management,Very High,Excellent
743,38,No,Research & Development,1,Life Sciences,Female,Manufacturing Director,Single,Florida,7861,4,Yes,14,10,1,0,0,Bachelors,First Level Management,High,Excellent
1706,43,No,Sales,2,Medical,Male,Sales Executive,Married,Missouri,7847,1,Yes,17,10,10,9,8,Bachelors,Intermediate,Very High,Excellent
984,35,No,Sales,3,Life Sciences,Male,Sales Executive,Divorced,Maryland,7823,6,No,13,12,10,9,0,Masters,First Level Management,Very High,Excellent
1133,36,No,Research & Development,18,Life Sciences,Male,Manufacturing Director,Single,Maine,7779,2,No,20,18,11,9,0,Masters,Intermediate,Very High,Outstanding
1103,34,No,Research & Development,3,Life Sciences,Male,Healthcare Representative,Single,Vermont,7756,0,No,17,7,6,2,0,College,Intermediate,Very High,Excellent
1638,38,No,Research & Development,2,Medical,Female,Manufacturing Director,Married,Michigan,7756,3,Yes,19,10,5,4,0,College,First Level Management,High,Excellent
692,33,No,Research & Development,6,Life Sciences,Male,Healthcare Representative,Divorced,Kentucky,7725,3,No,23,15,13,11,4,Bachelors,Intermediate,Very High,Outstanding
1121,28,No,Research & Development,3,Medical,Female,Manufacturing Director,Divorced,Delaware,7655,0,No,17,10,9,7,1,Bachelors,First Level Management,Medium,Excellent
840,49,Yes,Sales,11,Marketing,Female,Sales Executive,Married,Colorado,7654,1,No,18,9,9,8,7,Bachelors,First Level Management,Very High,Excellent
2024,36,No,Sales,3,Medical,Female,Sales Executive,Married,Texas,7644,0,No,19,10,9,7,3,Bachelors,First Level Management,Very High,Excellent
904,37,No,Sales,19,Medical,Male,Sales Executive,Single,Idaho,7642,1,Yes,13,10,10,0,0,College,First Level Management,Medium,Excellent
283,29,Yes,Sales,27,Marketing,Female,Sales Executive,Married,Illinois,7639,1,No,22,10,10,4,1,Bachelors,First Level Management,Very High,Outstanding
81,59,No,Sales,25,Life Sciences,Female,Sales Executive,Single,Vermont,7637,7,No,11,28,21,16,7,Bachelors,First Level Management,Low,Excellent
586,35,No,Research & Development,16,Life Sciences,Male,Healthcare Representative,Married,Nevada,7632,4,Yes,12,10,8,7,0,Bachelors,First Level Management,High,Excellent
724,38,No,Research & Development,1,Life Sciences,Female,Healthcare Representative,Single,Michigan,7625,0,No,13,10,9,7,1,Masters,Intermediate,Very High,Excellent
513,36,No,Sales,2,Medical,Male,Sales Executive,Married,Massachusetts,7596,1,No,13,10,10,9,9,College,First Level Management,High,Excellent
789,36,No,Sales,8,Life Sciences,Male,Sales Executive,Single,New Jersey,7587,1,No,15,10,10,7,0,Masters,First Level Management,Low,Excellent
1421,29,Yes,Research & Development,14,Other,Female,Healthcare Representative,Single,Wyoming,7553,0,Yes,12,9,8,7,7,College,First Level Management,Very High,Excellent
438,31,No,Sales,7,Marketing,Male,Sales Executive,Divorced,Connecticut,7547,4,No,12,13,7,7,1,Bachelors,Intermediate,Very High,Excellent
1050,53,No,Sales,2,Marketing,Female,Sales Executive,Married,Missouri,7525,2,No,12,30,15,7,6,Bachelors,First Level Management,Medium,Excellent
1971,43,No,Research & Development,11,Life Sciences,Male,Healthcare Representative,Married,Mississippi,7510,1,No,17,10,10,9,0,Bachelors,First Level Management,High,Excellent
623,37,No,Research & Development,1,Technical Degree,Female,Manufacturing Director,Single,New York,7491,4,No,17,12,6,5,1,Bachelors,First Level Management,Very High,Excellent
145,51,No,Research & Development,1,Medical,Female,Healthcare Representative,Single,Connecticut,7484,3,No,20,23,13,12,12,Masters,First Level Management,Low,Outstanding
453,40,No,Sales,1,Medical,Male,Sales Executive,Married,Montana,7457,2,Yes,22,6,4,3,0,College,Intermediate,Very High,Outstanding
1459,31,Yes,Research & Development,1,Life Sciences,Female,Manufacturing Director,Single,Kansas,7446,1,No,11,10,10,8,4,Doctorate,First Level Management,Medium,Excellent
1553,45,No,Research & Development,1,Technical Degree,Male,Healthcare Representative,Divorced,Massachusetts,7441,1,No,12,10,10,8,7,Masters,First Level Management,Medium,Excellent
152,37,No,Sales,3,Life Sciences,Male,Sales Executive,Single,Maryland,7428,2,No,12,12,5,3,1,Bachelors,First Level Management,Very High,Excellent
725,27,No,Research & Development,1,Life Sciences,Female,Manufacturing Director,Married,West Virginia,7412,1,No,11,9,9,7,0,College,First Level Management,Low,Excellent
605,42,No,Research & Development,24,Medical,Male,Manufacturing Director,Married,South Dakota,7406,1,Yes,21,10,10,9,5,Bachelors,First Level Management,Low,Outstanding
944,49,No,Research & Development,8,Other,Female,Laboratory Technician,Married,New York,7403,4,No,11,29,26,9,1,College,First Level Management,Medium,Excellent
1228,46,No,Research & Development,2,Technical Degree,Male,Manufacturing Director,Divorced,Tennessee,7379,2,No,11,12,6,3,1,Masters,Intermediate,Very High,Excellent
1125,38,No,Sales,2,Marketing,Male,Sales Executive,Single,Utah,7351,7,No,16,10,1,0,0,College,First Level Management,Medium,Excellent
1165,29,Yes,Sales,23,Life Sciences,Female,Sales Executive,Married,Florida,7336,1,No,13,11,11,8,3,College,First Level Management,Low,Excellent
1869,46,Yes,Sales,10,Life Sciences,Female,Sales Executive,Married,South Carolina,7314,5,No,21,14,8,7,0,Bachelors,First Level Management,Medium,Outstanding
204,35,No,Sales,1,Marketing,Male,Sales Executive,Married,New York,7295,1,No,13,10,10,8,0,Doctorate,First Level Management,Medium,Excellent
982,30,No,Sales,8,Other,Male,Sales Executive,Divorced,North Dakota,7264,5,No,11,10,8,4,7,College,First Level Management,High,Excellent
112,56,No,Research & Development,7,Life Sciences,Male,Manufacturing Director,Single,California,7260,4,No,11,37,6,4,0,Bachelors,First Level Management,Very High,Excellent
462,31,No,Research & Development,7,Medical,Female,Manufacturing Director,Single,Mississippi,7143,1,Yes,14,11,11,9,4,Masters,First Level Management,Very High,Excellent
1754,30,No,Sales,15,Marketing,Male,Sales Executive,Divorced,West Virginia,7140,2,No,11,12,7,7,1,College,First Level Management,Low,Excellent
1099,33,No,Research & Development,5,Life Sciences,Male,Healthcare Representative,Divorced,Colorado,7119,4,No,15,9,3,2,1,Bachelors,First Level Management,Very High,Excellent
677,33,No,Sales,8,Marketing,Male,Sales Executive,Divorced,Alaska,7104,0,No,12,6,5,0,1,Masters,Intermediate,High,Excellent
1312,36,No,Research & Development,10,Technical Degree,Female,Healthcare Representative,Married,Washington,7094,3,No,12,10,7,7,1,Masters,First Level Management,High,Excellent
1535,34,No,Sales,1,Technical Degree,Male,Sales Executive,Married,Ohio,7083,1,Yes,14,10,10,9,8,Bachelors,First Level Management,High,Excellent
1678,41,No,Sales,23,Life Sciences,Male,Sales Executive,Single,Wyoming,7082,3,Yes,16,21,2,0,0,College,First Level Management,High,Excellent
1689,53,No,Research & Development,24,Medical,Male,Healthcare Representative,Married,Colorado,7005,3,No,15,11,4,3,1,Masters,First Level Management,Very High,Excellent
1847,36,No,Research & Development,2,Other,Female,Research Scientist,Married,Nevada,6962,4,Yes,22,15,1,0,0,Masters,Intermediate,Medium,Outstanding
969,33,No,Research & Development,1,Life Sciences,Female,Healthcare Representative,Single,Wisconsin,6949,0,No,14,6,5,0,1,Bachelors,Intermediate,Very High,Excellent
947,31,No,Sales,20,Marketing,Female,Sales Executive,Married,Wisconsin,6932,1,No,13,9,9,8,0,College,Intermediate,High,Excellent
349,29,No,Sales,20,Marketing,Male,Sales Executive,Divorced,Mississippi,6931,2,No,14,10,3,2,0,College,Intermediate,Very High,Excellent
416,31,No,Sales,7,Technical Degree,Male,Sales Executive,Married,Illinois,6929,4,No,11,10,8,7,7,Bachelors,Intermediate,Very High,Excellent
1355,38,No,Sales,2,Life Sciences,Female,Sales Executive,Divorced,Arizona,6893,3,No,15,11,7,7,1,College,Intermediate,Low,Excellent
1728,35,No,Research & Development,27,Life Sciences,Male,Manufacturing Director,Married,Kentucky,6883,2,No,16,17,7,7,0,Masters,Intermediate,High,Excellent
833,30,No,Research & Development,2,Medical,Female,Manufacturing Director,Single,Delaware,6877,5,Yes,24,12,0,0,0,Bachelors,Intermediate,Very High,Outstanding
1814,41,No,Research & Development,5,Life Sciences,Male,Healthcare Representative,Single,Alabama,6870,3,No,12,11,3,2,1,Bachelors,Intermediate,Medium,Excellent
1036,38,No,Sales,3,Life Sciences,Male,Sales Executive,Single,Rhode Island,6861,8,Yes,12,19,1,0,0,Masters,Intermediate,Very High,Excellent
1830,54,No,Research & Development,7,Medical,Female,Research Scientist,Married,North Dakota,6854,4,No,15,14,7,1,1,Masters,Intermediate,Very High,Excellent
1239,40,No,Sales,10,Technical Degree,Female,Sales Executive,Divorced,Maine,6852,7,No,12,7,5,1,1,Bachelors,Intermediate,Medium,Excellent
1664,36,No,Research & Development,3,Life Sciences,Male,Healthcare Representative,Divorced,Massachusetts,6842,6,No,20,13,5,4,0,College,Intermediate,Low,Outstanding
1927,28,No,Sales,1,Life Sciences,Male,Sales Executive,Married,Oregon,6834,1,Yes,12,7,7,7,0,College,Intermediate,Very High,Excellent
1251,31,No,Research & Development,11,Medical,Male,Healthcare Representative,Married,Maryland,6833,1,Yes,12,6,6,5,0,College,Intermediate,Low,Excellent
35,42,No,Sales,8,Marketing,Male,Sales Executive,Married,California,6825,0,No,11,10,9,7,4,Masters,Intermediate,Medium,Excellent
1585,36,No,Sales,1,Life Sciences,Female,Sales Executive,Single,California,6815,6,No,13,15,1,0,0,Masters,Intermediate,High,Excellent
1252,31,No,Research & Development,24,Medical,Female,Healthcare Representative,Single,Georgia,6812,1,No,19,10,10,9,1,Bachelors,Intermediate,Low,Excellent
616,41,No,Research & Development,2,Other,Female,Healthcare Representative,Single,Illinois,6811,2,Yes,17,10,8,7,0,Masters,Intermediate,High,Excellent
764,27,No,Research & Development,7,Medical,Female,Healthcare Representative,Single,New Hampshire,6811,8,No,19,9,7,6,0,Bachelors,Intermediate,Low,Excellent
275,49,No,Research & Development,18,Life Sciences,Male,Manufacturing Director,Divorced,Washington,6804,1,Yes,15,7,7,7,1,Masters,Intermediate,Very High,Excellent
754,43,No,Sales,15,Life Sciences,Male,Sales Executive,Married,New Mexico,6804,3,No,18,7,2,2,2,Bachelors,Intermediate,Very High,Excellent
1823,34,No,Sales,8,Technical Degree,Male,Sales Executive,Married,Alaska,6799,1,No,21,10,10,8,4,College,Intermediate,High,Outstanding
723,50,Yes,Sales,8,Technical Degree,Male,Sales Executive,Married,West Virginia,6796,3,Yes,14,18,4,3,1,College,Intermediate,High,Excellent
1132,39,No,Research & Development,9,Life Sciences,Male,Laboratory Technician,Single,Virginia,6782,9,No,15,9,5,4,0,Bachelors,Intermediate,Medium,Excellent
477,42,No,Research & Development,2,Other,Male,Healthcare Representative,Single,Massachusetts,6781,3,No,23,14,1,0,0,Masters,Intermediate,Very High,Outstanding
482,57,No,Research & Development,1,Medical,Male,Healthcare Representative,Married,Arizona,6755,2,No,11,15,3,2,1,Masters,Intermediate,High,Excellent
1734,32,Yes,Sales,1,Life Sciences,Male,Sales Executive,Single,North Carolina,6735,6,No,15,10,0,0,0,College,Intermediate,Medium,Excellent
2044,50,Yes,Sales,1,Life Sciences,Male,Sales Executive,Divorced,Arkansas,6728,7,No,12,12,6,3,0,Masters,Intermediate,High,Excellent
966,32,No,Research & Development,3,Medical,Female,Manufacturing Director,Married,Massachusetts,6725,1,No,12,8,8,7,6,Masters,Intermediate,Low,Excellent
2035,34,No,Sales,28,Marketing,Female,Sales Executive,Married,Alabama,6712,1,No,21,8,8,7,1,Bachelors,Intermediate,High,Outstanding
299,30,Yes,Sales,26,Marketing,Female,Sales Executive,Single,North Carolina,6696,5,No,15,9,6,3,0,Masters,Intermediate,Low,Excellent
1105,37,No,Sales,10,Life Sciences,Female,Sales Executive,Divorced,Arkansas,6694,2,Yes,14,8,1,0,0,Masters,Intermediate,Very High,Excellent
1383,34,No,Research & Development,2,Technical Degree,Female,Healthcare Representative,Single,North Dakota,6687,1,No,11,14,14,11,4,Masters,Intermediate,Very High,Excellent
1315,28,No,Research & Development,1,Life Sciences,Female,Laboratory Technician,Married,Ohio,6674,0,No,11,10,9,8,7,Bachelors,Intermediate,Very High,Excellent
282,38,Yes,Research & Development,29,Medical,Male,Healthcare Representative,Married,Oregon,6673,7,Yes,19,17,1,0,0,College,Intermediate,Low,Excellent
1955,32,No,Research & Development,15,Medical,Female,Healthcare Representative,Divorced,North Carolina,6667,5,No,18,9,5,1,1,Masters,Intermediate,Very High,Excellent
479,36,No,Sales,1,Medical,Female,Sales Executive,Single,Kansas,6653,4,No,15,7,1,0,0,Doctorate,Intermediate,Very High,Excellent
2045,36,No,Sales,11,Marketing,Female,Sales Executive,Married,Kansas,6652,4,No,13,8,6,3,0,Masters,Intermediate,Very High,Excellent
1473,49,No,Research & Development,5,Technical Degree,Male,Healthcare Representative,Married,Arkansas,6651,2,No,14,20,3,2,1,Masters,Intermediate,High,Excellent
691,35,No,Research & Development,6,Life Sciences,Male,Research Scientist,Single,Arkansas,6646,1,No,13,17,17,11,11,Masters,Intermediate,Very High,Excellent
366,29,No,Sales,2,Medical,Male,Sales Executive,Married,Minnesota,6644,2,No,19,10,0,0,0,Bachelors,Intermediate,Medium,Excellent
783,45,No,Sales,2,Technical Degree,Male,Sales Representative,Single,Nevada,6632,0,No,13,9,8,7,3,College,Intermediate,High,Excellent
1260,29,No,Research & Development,7,Life Sciences,Male,Healthcare Representative,Divorced,Nebraska,6623,1,Yes,11,6,6,0,1,Bachelors,Intermediate,Very High,Excellent
924,36,No,Research & Development,14,Life Sciences,Male,Healthcare Representative,Married,Arizona,6586,0,Yes,17,17,16,8,4,College,Intermediate,Very High,Excellent
1912,31,No,Sales,10,Medical,Female,Sales Executive,Divorced,New Hampshire,6583,2,Yes,11,8,5,2,1,College,Intermediate,Very High,Excellent
604,31,No,Sales,2,Life Sciences,Male,Sales Executive,Single,Nevada,6582,4,Yes,13,10,6,5,0,College,Intermediate,Very High,Excellent
1179,30,No,Sales,10,Marketing,Male,Sales Executive,Married,Georgia,6578,1,No,18,10,10,3,1,Bachelors,Intermediate,High,Excellent
533,30,No,Sales,12,Technical Degree,Female,Sales Executive,Single,California,6577,0,No,11,6,5,4,4,Bachelors,Intermediate,High,Excellent
170,49,No,Research & Development,20,Medical,Female,Manufacturing Director,Married,Oregon,6567,1,No,14,16,15,11,5,Masters,Intermediate,Low,Excellent
271,38,No,Research & Development,2,Life Sciences,Male,Manufacturing Director,Married,South Carolina,6553,9,No,14,14,1,0,0,Masters,Intermediate,High,Excellent
1514,28,No,Research & Development,29,Life Sciences,Male,Manufacturing Director,Married,Indiana,6549,1,No,14,8,8,6,1,College,Intermediate,Medium,Excellent
347,42,No,Research & Development,17,Life Sciences,Female,Research Scientist,Single,Michigan,6545,3,Yes,13,10,3,2,0,College,Intermediate,Low,Excellent
496,35,No,Research & Development,9,Life Sciences,Male,Healthcare Representative,Single,Connecticut,6540,9,No,19,10,1,1,0,Masters,Intermediate,Medium,Excellent
523,34,No,Sales,4,Marketing,Female,Sales Executive,Married,North Carolina,6538,9,No,15,6,3,2,1,Masters,Intermediate,High,Excellent
889,32,No,Sales,5,Life Sciences,Male,Sales Executive,Married,Massachusetts,6524,1,No,14,10,10,8,5,College,Intermediate,Medium,Excellent
1724,40,No,Research & Development,8,Life Sciences,Female,Manufacturing Director,Married,Oklahoma,6516,2,Yes,16,18,1,0,0,College,Intermediate,Low,Excellent
1822,40,No,Research & Development,1,Life Sciences,Female,Healthcare Representative,Divorced,Iowa,6513,4,No,17,12,5,3,0,Bachelors,Intermediate,Very High,Excellent
378,37,No,Sales,6,Medical,Male,Sales Executive,Married,New Mexico,6502,4,No,14,7,5,4,0,Masters,Intermediate,Very High,Excellent
808,34,No,Sales,8,Life Sciences,Female,Sales Executive,Married,Hawaii,6500,5,No,17,6,3,2,1,College,Intermediate,Low,Excellent
1898,27,No,Sales,2,Medical,Female,Sales Executive,Single,Tennessee,6500,0,No,14,9,8,7,0,College,Intermediate,High,Excellent
85,36,No,Research & Development,11,Life Sciences,Male,Manufacturing Director,Single,Missouri,6499,1,No,13,6,6,5,0,Bachelors,Intermediate,Medium,Excellent
1196,37,No,Research & Development,1,Life Sciences,Female,Manufacturing Director,Married,Pennsylvania,6474,1,No,13,14,14,8,3,Bachelors,Intermediate,Very High,Excellent
1737,39,No,Research & Development,1,Life Sciences,Male,Laboratory Technician,Married,Rhode Island,6472,1,Yes,15,9,9,8,5,Bachelors,Intermediate,Very High,Excellent
40,44,No,Research & Development,10,Other,Male,Healthcare Representative,Married,South Dakota,6465,2,Yes,13,9,4,2,1,Masters,Intermediate,Very High,Excellent
635,37,No,Research & Development,1,Life Sciences,Female,Manufacturing Director,Married,New Hampshire,6447,6,No,12,8,6,5,4,Masters,Intermediate,Medium,Excellent
1557,48,No,Sales,16,Life Sciences,Female,Sales Executive,Divorced,Massachusetts,6439,8,No,14,18,8,7,7,Masters,Intermediate,High,Excellent
341,45,No,Research & Development,7,Life Sciences,Male,Manufacturing Director,Married,Maine,6434,4,No,17,9,3,2,0,Masters,Intermediate,High,Excellent
1722,41,No,Human Resources,4,Human Resources,Male,Human Resources,Married,New Jersey,6430,6,No,19,10,3,2,1,Bachelors,Intermediate,Medium,Excellent
424,31,No,Human Resources,2,Human Resources,Male,Human Resources,Married,Utah,6410,3,No,12,9,2,2,1,Bachelors,Intermediate,Low,Excellent
384,26,No,Research & Development,1,Life Sciences,Female,Manufacturing Director,Divorced,Idaho,6397,1,No,20,6,6,5,1,Bachelors,Intermediate,Medium,Outstanding
785,47,Yes,Sales,27,Life Sciences,Female,Sales Executive,Single,Pennsylvania,6397,4,Yes,12,8,5,4,1,College,Intermediate,High,Excellent
1560,33,No,Sales,8,Life Sciences,Male,Sales Executive,Married,Nevada,6392,2,No,13,8,2,2,2,Masters,Intermediate,Low,Excellent
760,39,No,Human Resources,3,Human Resources,Female,Human Resources,Married,Texas,6389,9,No,15,12,8,3,3,Bachelors,Intermediate,Medium,Excellent
1515,33,No,Research & Development,8,Life Sciences,Male,Healthcare Representative,Single,Tennessee,6388,2,Yes,17,14,0,0,0,Doctorate,Intermediate,High,Excellent
1034,55,No,Research & Development,18,Medical,Male,Healthcare Representative,Married,Alaska,6385,3,Yes,14,17,8,7,6,Masters,Intermediate,Medium,Excellent
1859,29,No,Research & Development,29,Life Sciences,Male,Healthcare Representative,Divorced,Alaska,6384,8,No,17,11,7,0,1,College,Intermediate,High,Excellent
492,40,Yes,Sales,22,Marketing,Male,Sales Executive,Married,Kansas,6380,2,Yes,12,8,6,4,1,College,Intermediate,High,Excellent
1375,40,No,Research & Development,2,Medical,Female,Healthcare Representative,Divorced,Connecticut,6377,5,No,20,15,12,11,11,College,Intermediate,High,Outstanding
449,27,No,Sales,1,Marketing,Male,Sales Executive,Married,Virginia,6349,0,Yes,13,6,5,4,1,College,Intermediate,Medium,Excellent
184,30,No,Human Resources,9,Human Resources,Male,Human Resources,Married,Oregon,6347,0,Yes,19,12,11,9,4,Bachelors,Intermediate,Very High,Excellent
460,37,No,Research & Development,5,Medical,Male,Manufacturing Director,Divorced,North Dakota,6347,7,No,16,8,6,2,0,College,Intermediate,Very High,Excellent
1040,50,No,Sales,1,Life Sciences,Female,Sales Executive,Married,Connecticut,6347,0,No,12,19,18,7,0,Bachelors,Intermediate,High,Excellent
868,37,No,Sales,16,Marketing,Male,Sales Executive,Divorced,Arizona,6334,4,No,19,9,1,0,0,Masters,Intermediate,High,Excellent
